title	type	alias	null1	categories	null2	related	null3	links	disambiguation	image	abstract	sourceurl
Unescaped left brace in regex is deprecated, passed through in regex; marked by <-- HERE in m/%s/	A			Perl Diagnostics							<section class="prog__container"><p>(D deprecated, regexp) You used a literal <code class="inline"><span class="q">&quot;{&quot;</span></code>  character in a regular expression pattern.  You should change to use <code class="inline"><span class="q">&quot;\\{&quot;</span></code>  instead, because a future version of Perl (tentatively v5.26) will consider this to be a syntax error.  If the pattern delimiters are also braces, any matching right brace (<code class="inline"><span class="q">&quot;}&quot;</span></code> ) should also be escaped to avoid confusing the parser, for example,</p><pre class="verbatim"><ol><li>    <span class="q">qr{abc\\{def\\}ghi}</span></li></ol></pre></section>	http://perldoc.perl.org/perldiag.html#Unescaped-left-brace-in-regex-is-deprecated%2c-passed-through-in-regex%3b-marked-by-%3c---HERE-in-m%2f%25s%2f
${^GLOBAL_PHASE} (variable)	A			Perl Variables\nPerl Variables related to the interpreter state							<section class="prog__container"><p>The current phase of the perl interpreter.</p><p>Possible values are:</p><p>Also note that there&#39;s no value for UNITCHECK-blocks.  That&#39;s because those are run for each compilation unit individually, and therefore is not a global interpreter phase.</p><p>Not every program has to go through each of the possible phases, but transition from one phase to another can only happen in the order described in the above list.</p><p>An example of all of the phases Perl code can see:</p><pre class="verbatim"><ol><li>    BEGIN <span class="s">{</span> <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;compile-time: ${^GLOBAL_PHASE}\\n&quot;</span> <span class="s">}</span></li><li></li><li>    INIT  <span class="s">{</span> <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;init-time: ${^GLOBAL_PHASE}\\n&quot;</span> <span class="s">}</span></li><li></li><li>    CHECK <span class="s">{</span> <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;check-time: ${^GLOBAL_PHASE}\\n&quot;</span> <span class="s">}</span></li><li></li><li>    <span class="s">{</span></li><li><span name="package-Print::Phase"></span>        package <span class="i">Print::Phase</span><span class="sc">;</span></li><li></li><li><span name="new"></span>        sub <span class="m">new</span> <span class="s">{</span></li><li>            <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="s">(</span><span class="i">$class</span><span class="cm">,</span> <span class="i">$time</span><span class="s">)</span> = <span class="i">@_</span><span class="sc">;</span></li><li>            <span class="l_k" href="http://perldoc.perl.org/functions/return.html">return</span> <span class="l_k" href="http://perldoc.perl.org/functions/bless.html">bless</span> \\<span class="i">$time</span><span class="cm">,</span> <span class="i">$class</span><span class="sc">;</span></li><li>        <span class="s">}</span></li><li></li><li><span name="DESTROY"></span>        sub <span class="m">DESTROY</span> <span class="s">{</span></li><li>            <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$self</span> = <span class="l_k" href="http://perldoc.perl.org/functions/shift.html">shift</span><span class="sc">;</span></li><li>            <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;$$self: ${^GLOBAL_PHASE}\\n&quot;</span><span class="sc">;</span></li><li>        <span class="s">}</span></li><li><span name="package-main"></span>    <span class="s">}</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;run-time: ${^GLOBAL_PHASE}\\n&quot;</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$runtime</span> = <span class="w">Print::Phase</span><span class="w">-&gt;new</span><span class="s">(</span></li><li>        <span class="q">&quot;lexical variables are garbage collected before END&quot;</span></li><li>    <span class="s">)</span><span class="sc">;</span></li><li></li><li>    END   <span class="s">{</span> <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="q">&quot;end-time: ${^GLOBAL_PHASE}\\n&quot;</span> <span class="s">}</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/our.html">our</span> <span class="i">$destruct</span> = <span class="w">Print::Phase</span><span class="w">-&gt;new</span><span class="s">(</span></li><li>        <span class="q">&quot;package variables are garbage collected after END&quot;</span></li><li>    <span class="s">)</span><span class="sc">;</span></li></ol></pre><p>This will print out</p><pre class="verbatim"><ol><li>    <span class="w">compile</span>-<span class="l_k" href="http://perldoc.perl.org/functions/time.html">time</span><span class="co">:</span> <span class="w">START</span></li><li>    <span class="w">check</span>-<span class="l_k" href="http://perldoc.perl.org/functions/time.html">time</span><span class="co">:</span> CHECK</li><li>    <span class="w">init</span>-<span class="l_k" href="http://perldoc.perl.org/functions/time.html">time</span><span class="co">:</span> INIT</li><li>    <span class="w">run</span>-<span class="l_k" href="http://perldoc.perl.org/functions/time.html">time</span><span class="co">:</span> <span class="w">RUN</span></li><li>    <span class="w">lexical</span> <span class="w">variables</span> <span class="w">are</span> <span class="w">garbage</span> <span class="w">collected</span> <span class="w">before</span> END<span class="co">:</span> <span class="w">RUN</span></li><li>    <span class="w">end</span>-<span class="l_k" href="http://perldoc.perl.org/functions/time.html">time</span><span class="co">:</span> END</li><li><span name="package-variables"></span>    package <span class="i">variables</span> <span class="w">are</span> <span class="w">garbage</span> <span class="w">collected</span> <span class="w">after</span> END<span class="co">:</span> <span class="w">DESTRUCT</span></li></ol></pre><p>This variable was added in Perl 5.14.0.</p></section>	http://perldoc.perl.org/perlvar.html#%24%7b%5eGLOBAL_PHASE%7d
q (function)	A			Perl Functions							<section class="prog__container"><pre>q/STRING/</pre>Singly quote a string.</section>	http://perldoc.perl.org/functions/q.html
Insecure $ENV{%s} while running %s	A			Perl Diagnostics							<section class="prog__container"><p>(F) You can&#39;t use system(), exec(), or a piped open in a setuid or setgid script if any of <code class="inline"><span class="i">$ENV</span>{<span class="w">PATH</span>}</code> , <code class="inline"><span class="i">$ENV</span>{<span class="w">IFS</span>}</code> , <code class="inline"><span class="i">$ENV</span>{<span class="w">CDPATH</span>}</code> , <code class="inline"><span class="i">$ENV</span>{<span class="w">ENV</span>}</code> , <code class="inline"><span class="i">$ENV</span>{<span class="w">BASH_ENV</span>}</code>  or <code class="inline"><span class="i">$ENV</span>{<span class="w">TERM</span>}</code>  are derived from data supplied (or potentially supplied) by the user.  The script must set the path to a known value, using trustworthy data.  See <span href="http://perldoc.perl.org/perlsec.html">perlsec</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Insecure-%24ENV%7b%25s%7d-while-running-%25s
IO::Compress::RawDeflate (module)	A			Perl Standard Modules		[[Compress::Zlib]]\n[[IO::Compress::Gzip]]\n[[IO::Uncompress::Gunzip]]\n[[IO::Compress::Deflate]]\n[[IO::Uncompress::Inflate]]\n[[IO::Uncompress::RawInflate]]\n[[IO::Compress::Bzip2]]\n[[IO::Uncompress::Bunzip2]]\n[[IO::Compress::Lzma]]\n[[IO::Uncompress::UnLzma]]\n[[IO::Compress::Xz]]\n[[IO::Uncompress::UnXz]]\n[[IO::Compress::Lzop]]\n[[IO::Uncompress::UnLzop]]\n[[IO::Compress::Lzf]]\n[[IO::Uncompress::UnLzf]]\n[[IO::Uncompress::AnyInflate]]\n[[IO::Uncompress::AnyUncompress]]\n[[IO::Compress::FAQ]]\n[[File::GlobMapper]]\n[[Archive::Zip]]\n[[Archive::Tar]]\n[[IO::Zlib]]\n[[http://www.faqs.org/rfcs/rfc1950.html]]\n[[http://www.faqs.org/rfcs/rfc1951.html]]\n[[http://www.faqs.org/rfcs/rfc1952.html]]\n[[http://www.zlib.org]]\n[[http://www.gzip.org]]					<section class="prog__container"><p>IO::Compress::RawDeflate - Write RFC 1951 files/buffers</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">IO::Compress::RawDeflate</span> <span class="q">qw(rawdeflate $RawDeflateError)</span> <span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$status</span> = <span class="w">rawdeflate</span> <span class="i">$input</span> <span class="cm">=&gt;</span> <span class="i">$output</span> [<span class="cm">,</span><span class="w">OPTS</span>] </li><li>        or <span class="l_k" href="http://perldoc.perl.org/functions/die.html">die</span> <span class="q">&quot;rawdeflate failed: $RawDeflateError\\n&quot;</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$z</span> = <span class="w">new</span> <span class="w">IO::Compress::RawDeflate</span> <span class="i">$output</span> [<span class="cm">,</span><span class="w">OPTS</span>]</li><li>        or <span class="l_k" href="http://perldoc.perl.org/functions/die.html">die</span> <span class="q">&quot;rawdeflate failed: $RawDeflateError\\n&quot;</span><span class="sc">;</span></li><li></li><li>    <span class="i">$z</span><span class="i">-&gt;print</span><span class="s">(</span><span class="i">$string</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;printf</span><span class="s">(</span><span class="i">$format</span><span class="cm">,</span> <span class="i">$string</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;write</span><span class="s">(</span><span class="i">$string</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;syswrite</span><span class="s">(</span><span class="i">$string</span> [<span class="cm">,</span> <span class="i">$length</span><span class="cm">,</span> <span class="i">$offset</span>]<span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;flush</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;tell</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;eof</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;seek</span><span class="s">(</span><span class="i">$position</span><span class="cm">,</span> <span class="i">$whence</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;binmode</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;fileno</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;opened</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;autoflush</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;input_line_number</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$z</span><span class="i">-&gt;newStream</span><span class="s">(</span> <span class="s">[</span><span class="w">OPTS</span><span class="s">]</span> <span class="s">)</span><span class="sc">;</span></li><li>    </li><li>    <span class="i">$z</span><span class="i">-&gt;deflateParams</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    </li><li>    <span class="i">$z</span><span class="i">-&gt;close</span><span class="s">(</span><span class="s">)</span> <span class="sc">;</span></li><li></li><li>    <span class="i">$RawDeflateError</span> <span class="sc">;</span></li><li></li><li>    <span class="c"># IO::File mode</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="i">$z</span> <span class="i">$string</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/printf.html">printf</span> <span class="i">$z</span> <span class="i">$format</span><span class="cm">,</span> <span class="i">$string</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/tell.html">tell</span> <span class="i">$z</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/eof.html">eof</span> <span class="i">$z</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/seek.html">seek</span> <span class="i">$z</span><span class="cm">,</span> <span class="i">$position</span><span class="cm">,</span> <span class="i">$whence</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/binmode.html">binmode</span> <span class="i">$z</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/fileno.html">fileno</span> <span class="i">$z</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/close.html">close</span> <span class="i">$z</span> <span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/IO/Compress/RawDeflate.html
How can I pass/return a {Function, FileHandle, Array, Hash, Method, Regex}?	A			Perl FAQs\nPerl General Perl Language Issues							<section class="prog__container"><p>You need to pass references to these objects. See <span href="http://perldoc.perl.org/perlsub.html#Pass-by-Reference">Pass by Reference in perlsub</span> for this particular question, and <span href="http://perldoc.perl.org/perlref.html">perlref</span> for information on references.</p></section>	http://perldoc.perl.org/perlfaq7.html#How-can-I-pass%2freturn-a-%7bFunction%2c-FileHandle%2c-Array%2c-Hash%2c-Method%2c-Regex%7d%3f
Malformed PERLLIB_PREFIX	A			Perl Diagnostics							<section class="prog__container"><p>(F) An error peculiar to OS/2.  PERLLIB_PREFIX should be of the form</p><pre class="verbatim"><ol><li>    <span class="w">prefix1</span><span class="sc">;</span><span class="w">prefix2</span></li></ol></pre><p>or     prefix1 prefix2</p><p>with nonempty prefix1 and prefix2.  If <code class="inline"><span class="w">prefix1</span></code>  is indeed a prefix of a builtin library search path, prefix2 is substituted.  The error may appear if components are not found, or are too long.  See &quot;PERLLIB_PREFIX&quot; in <span href="http://perldoc.perl.org/perlos2.html">perlos2</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Malformed-PERLLIB_PREFIX
Why can't I use "C:\temp\foo" in DOS paths? Why doesn't `C:\temp\foo.exe` work?	A			Perl FAQs\nPerl Files and Formats							<section class="prog__container"><p>Whoops!  You just put a tab and a formfeed into that filename! Remember that within double quoted strings (&quot;like\\this&quot;), the backslash is an escape character. The full list of these is in <span href="http://perldoc.perl.org/perlop.html#Quote-and-Quote-like-Operators">Quote and Quote-like Operators in perlop</span>. Unsurprisingly, you don&#39;t have a file called &quot;c:(tab)emp(formfeed)oo&quot; or &quot;c:(tab)emp(formfeed)oo.exe&quot; on your legacy DOS filesystem.</p><p>Either single-quote your strings, or (preferably) use forward slashes. Since all DOS and Windows versions since something like MS-DOS 2.0 or so have treated <code class="inline">/</code> and <code class="inline">\\</code>  the same in a path, you might as well use the one that doesn&#39;t clash with Perl--or the POSIX shell, ANSI C and C++, awk, Tcl, Java, or Python, just to mention a few. POSIX paths are more portable, too.</p></section>	http://perldoc.perl.org/perlfaq5.html#Why-can't-I-use-%22C%3a%5ctemp%5cfoo%22-in-DOS-paths%3f-Why-doesn't-%60C%3a%5ctemp%5cfoo.exe%60-work%3f
bundle (definition)	A			Perl Glossary							<section class="prog__container"><p>A group of related modules on <b>CPAN</b>. (Also sometimes refers to a group of command-line switches grouped into one <b>switch cluster</b>.)</p></section>	http://perldoc.perl.org/perlglossary.html#bundle
shared memory (definition)	A			Perl Glossary							<section class="prog__container"><p>A piece of <b>memory</b> accessible by two different <b>processes</b> who otherwise would not see each other’s memory.</p></section>	http://perldoc.perl.org/perlglossary.html#shared-memory
Illegal binary digit %s	A			Perl Diagnostics							<section class="prog__container"><p>(F) You used a digit other than 0 or 1 in a binary number.</p></section>	http://perldoc.perl.org/perldiag.html#Illegal-binary-digit-%25s
Can't load '%s' for module %s	A			Perl Diagnostics							<section class="prog__container"><p>(F) The module you tried to load failed to load a dynamic extension. This may either mean that you upgraded your version of perl to one that is incompatible with your old dynamic extensions (which is known to happen between major versions of perl), or (more likely) that your dynamic extension was built against an older version of the library that is installed on your system.  You may need to rebuild your old dynamic extensions.</p></section>	http://perldoc.perl.org/perldiag.html#Can't-load-'%25s'-for-module-%25s
"%s" is more clearly written simply as "%s" in regex; marked by <-- HERE in m/%s/	A			Perl Diagnostics							<section class="prog__container"><p>(W regexp) (only under <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">re</span> <span class="q">&#39;strict&#39;</span></code>  or within <code class="inline"><span class="s">(</span><span class="q">?[...])</span></code> )</p><p>You specified a character that has the given plainer way of writing it, and which is also portable to platforms running with different character sets.</p></section>	http://perldoc.perl.org/perldiag.html#%22%25s%22-is-more-clearly-written-simply-as-%22%25s%22-in-regex%3b-marked-by-%3c---HERE-in-m%2f%25s%2f
File::Spec::Unix (module)	A			Perl Standard Modules		[[File::Spec]]					<section class="prog__container"><p>File::Spec::Unix - File::Spec for Unix, base for other File::Spec modules</p> <pre class="verbatim"><ol><li> <span class="l_k" href="http://perldoc.perl.org/functions/require.html">require</span> <span class="w">File::Spec::Unix</span><span class="sc">;</span> <span class="c"># Done automatically by File::Spec</span></li></ol></pre></section>	http://perldoc.perl.org/File/Spec/Unix.html
$] (variable)	A			Perl Variables\nPerl General Variables							<section class="prog__container"><p>The revision, version, and subversion of the Perl interpreter, represented as a decimal of the form 5.XXXYYY, where XXX is the version / 1e3 and YYY is the subversion / 1e6.  For example, Perl v5.10.1 would be &quot;5.010001&quot;.</p><p>This variable can be used to determine whether the Perl interpreter executing a script is in the right range of versions:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/warn.html">warn</span> <span class="q">&quot;No PerlIO!\\n&quot;</span> <span class="l_k" href="http://perldoc.perl.org/functions/if.html">if</span> <span class="i">$]</span> <span class="l_k" href="http://perldoc.perl.org/functions/lt.html">lt</span> <span class="q">&#39;5.008&#39;</span><span class="sc">;</span></li></ol></pre><p>When comparing <code class="inline"><span class="i">$]</span></code> , string comparison operators are <b>highly recommended</b>.  The inherent limitations of binary floating point representation can sometimes lead to incorrect comparisons for some numbers on some architectures.</p><p>See also the documentation of <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">VERSION</span></code>  and <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/require.html">require</span> <span class="w">VERSION</span></code>  for a convenient way to fail if the running Perl interpreter is too old.</p><p>See <span href="http://perldoc.perl.org/perlvar.html#%24%5eV">$^V</span> for a representation of the Perl version as a <span href="http://perldoc.perl.org/version.html">version</span> object, which allows more flexible string comparisons.</p><p>The main advantage of <code class="inline"><span class="i">$]</span></code>  over <code class="inline"><span class="i">$^V</span></code>  is that it works the same on any version of Perl.  The disadvantages are that it can&#39;t easily be compared to versions in other formats (e.g. literal v-strings, &quot;v1.2.3&quot; or version objects) and numeric comparisons can occasionally fail; it&#39;s good for string literal version checks and bad for comparing to a variable that hasn&#39;t been sanity-checked.</p><p>Mnemonic: Is this version of perl in the right bracket?</p></section>	http://perldoc.perl.org/perlvar.html#%24%5d
ioctl is not implemented	A			Perl Diagnostics							<section class="prog__container"><p>(F) Your machine apparently doesn&#39;t implement ioctl(), which is pretty strange for a machine that supports C.</p></section>	http://perldoc.perl.org/perldiag.html#ioctl-is-not-implemented
word (definition)	A			Perl Glossary							<section class="prog__container"><p>In normal “computerese”, the piece of data of the size most efficiently handled by your computer, typically 32 bits or so, give or take a few powers of 2. In Perl culture, it more often refers to an alphanumeric <b>identifier</b> (including underscores), or to a string of nonwhitespace <b>characters</b> bounded by whitespace or string boundaries.</p></section>	http://perldoc.perl.org/perlglossary.html#word
GV (definition)	A			Perl Glossary							<section class="prog__container"><p>An internal “glob value” typedef, holding a <b>typeglob</b>. The <code class="inline"><span class="w">GV</span></code>  type is a subclass of <b>SV</b>.</p></section>	http://perldoc.perl.org/perlglossary.html#GV
No input file after < on command line	A			Perl Diagnostics							<section class="prog__container"><p>(F) An error peculiar to VMS.  Perl handles its own command line redirection, and found a &#39;&lt;&#39; on the command line, but can&#39;t find the name of the file from which to read data for stdin.</p></section>	http://perldoc.perl.org/perldiag.html#No-input-file-after-%3c-on-command-line
Overloaded dereference did not return a reference	A			Perl Diagnostics							<section class="prog__container"><p>(F) An object with an overloaded dereference operator was dereferenced, but the overloaded operation did not return a reference.  See <span href="http://perldoc.perl.org/overload.html">overload</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Overloaded-dereference-did-not-return-a-reference
Attribute::Handlers (module)	A			Perl Standard Modules							<section class="prog__container"><p>Attribute::Handlers - Simpler definition of attribute handlers</p> <pre class="verbatim"><ol><li><span name="package-MyClass"></span>    package <span class="i">MyClass</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/require.html">require</span> <span class="n">5.006</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Attribute::Handlers</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/no.html">no</span> <span class="w">warnings</span> <span class="q">&#39;redefine&#39;</span><span class="sc">;</span></li><li></li><li></li><li><span name="Good"></span>    sub <span class="m">Good</span> <span class="co">:</span> <span class="q">ATTR(SCALAR)</span> <span class="s">{</span></li><li>&#09;<span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="s">(</span><span class="i">$package</span><span class="cm">,</span> <span class="i">$symbol</span><span class="cm">,</span> <span class="i">$referent</span><span class="cm">,</span> <span class="i">$attr</span><span class="cm">,</span> <span class="i">$data</span><span class="s">)</span> = <span class="i">@_</span><span class="sc">;</span></li><li></li><li>&#09;<span class="c"># Invoked for any scalar variable with a :Good attribute,</span></li><li>&#09;<span class="c"># provided the variable was declared in MyClass (or</span></li><li>&#09;<span class="c"># a derived class) or typed to MyClass.</span></li><li></li><li>&#09;<span class="c"># Do whatever to $referent here (executed in CHECK phase).</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li><span name="Bad"></span>    sub <span class="m">Bad</span> <span class="co">:</span> <span class="q">ATTR(SCALAR)</span> <span class="s">{</span></li><li>&#09;<span class="c"># Invoked for any scalar variable with a :Bad attribute,</span></li><li>&#09;<span class="c"># provided the variable was declared in MyClass (or</span></li><li>&#09;<span class="c"># a derived class) or typed to MyClass.</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li><span name="Good-1"></span>    sub <span class="m">Good</span> <span class="co">:</span> <span class="q">ATTR(ARRAY)</span> <span class="s">{</span></li><li>&#09;<span class="c"># Invoked for any array variable with a :Good attribute,</span></li><li>&#09;<span class="c"># provided the variable was declared in MyClass (or</span></li><li>&#09;<span class="c"># a derived class) or typed to MyClass.</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li><span name="Good-2"></span>    sub <span class="m">Good</span> <span class="co">:</span> <span class="q">ATTR(HASH)</span> <span class="s">{</span></li><li>&#09;<span class="c"># Invoked for any hash variable with a :Good attribute,</span></li><li>&#09;<span class="c"># provided the variable was declared in MyClass (or</span></li><li>&#09;<span class="c"># a derived class) or typed to MyClass.</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li><span name="Ugly"></span>    sub <span class="m">Ugly</span> <span class="co">:</span> <span class="q">ATTR(CODE)</span> <span class="s">{</span></li><li>&#09;<span class="c"># Invoked for any subroutine declared in MyClass (or a </span></li><li>&#09;<span class="c"># derived class) with an :Ugly attribute.</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li><span name="Omni"></span>    sub <span class="m">Omni</span> <span class="co">:</span> <span class="w">ATTR</span> <span class="s">{</span></li><li>&#09;<span class="c"># Invoked for any scalar, array, hash, or subroutine</span></li><li>&#09;<span class="c"># with an :Omni attribute, provided the variable or</span></li><li>&#09;<span class="c"># subroutine was declared in MyClass (or a derived class)</span></li><li>&#09;<span class="c"># or the variable was typed to MyClass.</span></li><li>&#09;<span class="c"># Use ref($_[2]) to determine what kind of referent it was.</span></li><li>&#09;...</li><li>    <span class="s">}</span></li><li></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Attribute::Handlers</span> <span class="w">autotie</span> <span class="cm">=&gt;</span> <span class="s">{</span> <span class="w">Cycle</span> <span class="cm">=&gt;</span> <span class="w">Tie::Cycle</span> <span class="s">}</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$next</span> <span class="co">:</span> <span class="q">Cycle([&#39;A&#39;..&#39;Z&#39;])</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Attribute/Handlers.html
ExtUtils::MM_Cygwin (module)	A			Perl Standard Modules							<section class="prog__container"><p>ExtUtils::MM_Cygwin - methods to override UN*X behaviour in ExtUtils::MakeMaker</p> <pre class="verbatim"><ol><li> <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">ExtUtils::MM_Cygwin</span><span class="sc">;</span> <span class="c"># Done internally by ExtUtils::MakeMaker if needed</span></li></ol></pre></section>	http://perldoc.perl.org/ExtUtils/MM_Cygwin.html
