	R	jQuery()										
.wrap	R	.wrap()										
.wrap()	A			jQuery Manipulation\njQuery Dom Insertion Around							<section class="prog__container"><p>Wrap an HTML structure around each element in the set of matched elements.</p><pre><code>$(selector).wrap(wrappingElement) → jQuery\n$(selector).wrap(function) → jQuery</code></pre><p>Arguments</p><pre><code>wrappingElement (Selector| htmlString| Element| jQuery) : A selector, element, HTML string, or jQuery object specifying the structure to wrap around the matched elements. When you pass a jQuery collection containing more than one element, or a selector matching more than one element, the first element will be used.\nfunction (Function) : A callback function returning the HTML content or jQuery object to wrap around the matched elements. Receives the index position of the element in the set as an argument. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/wrap/
.wrapAll	R	.wrapAll()										
.wrapAll()	A			jQuery Manipulation\njQuery Dom Insertion Around							<section class="prog__container"><p>Wrap an HTML structure around all elements in the set of matched elements.</p><pre><code>$(selector).wrapAll(wrappingElement) → jQuery\n$(selector).wrapAll(function) → jQuery</code></pre><p>Arguments</p><pre><code>wrappingElement (Selector| htmlString| Element| jQuery) : A selector, element, HTML string, or jQuery object specifying the structure to wrap around the matched elements.\nfunction (Function) : A callback function returning the HTML content or jQuery object to wrap around all the matched elements. Within the function, this refers to the first element in the set. Prior to jQuery 3.0, the callback was incorrectly called for every element in the set and received the index position of the element in the set as an argument.</code></pre></section>	https://api.jquery.com/wrapAll/
.wrapInner	R	.wrapInner()										
.wrapInner()	A			jQuery Manipulation\njQuery Dom Insertion Around							<section class="prog__container"><p>Wrap an HTML structure around the content of each element in the set of matched elements.</p><pre><code>$(selector).wrapInner(wrappingElement) → jQuery\n$(selector).wrapInner(function) → jQuery</code></pre><p>Arguments</p><pre><code>wrappingElement (htmlString| Selector| jQuery| Element) : An HTML snippet, selector expression, jQuery object, or DOM element specifying the structure to wrap around the content of the matched elements.\nfunction (Function) : A callback function which generates a structure to wrap around the content of the matched elements. Receives the index position of the element in the set as an argument. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/wrapInner/
:animated Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Select all elements that are in the progress of an animation at the time the selector is run.</p><pre><code>$(":animated") → jQuery</code></pre></section>	https://api.jquery.com/animated-selector/
:button Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all button elements and elements of type button.</p><pre><code>$(":button") → jQuery</code></pre></section>	https://api.jquery.com/button-selector/
:checkbox Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type checkbox.</p><pre><code>$(":checkbox") → jQuery</code></pre></section>	https://api.jquery.com/checkbox-selector/
:checked Selector	A			jQuery Selectors\njQuery Form Selectors							<section class="prog__container"><p>Matches all elements that are checked or selected.</p><pre><code>$(":checked") → jQuery</code></pre></section>	https://api.jquery.com/checked-selector/
:contains() Selector	A			jQuery Selectors\njQuery Content Filter Selector							<section class="prog__container"><p>Select all elements that contain the specified text.</p><pre><code>$(":contains(text)") → jQuery</code></pre><p>Arguments</p><pre><code>text (String) : A string of text to look for. It's case sensitive.</code></pre></section>	https://api.jquery.com/contains-selector/
:disabled Selector	A			jQuery Selectors\njQuery Form Selectors							<section class="prog__container"><p>Selects all elements that are disabled.</p><pre><code>$(":disabled") → jQuery</code></pre></section>	https://api.jquery.com/disabled-selector/
:empty Selector	A			jQuery Selectors\njQuery Content Filter Selector							<section class="prog__container"><p>Select all elements that have no children (including text nodes).</p><pre><code>$(":empty") → jQuery</code></pre></section>	https://api.jquery.com/empty-selector/
:enabled Selector	A			jQuery Selectors\njQuery Form Selectors							<section class="prog__container"><p>Selects all elements that are enabled.</p><pre><code>$(":enabled") → jQuery</code></pre></section>	https://api.jquery.com/enabled-selector/
:eq() Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Select the element at index n within the matched set.</p><pre><code>$(":eq(index)") → jQuery\n$(":eq(-index)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number) : Zero-based index of the element to match.\nindexFromEnd (Integer) : Zero-based index of the element to match, counting backwards from the last element.</code></pre></section>	https://api.jquery.com/eq-selector/
:even Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects even elements, zero-indexed.  See also odd.</p><pre><code>$(":even") → jQuery</code></pre></section>	https://api.jquery.com/even-selector/
:file Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type file.</p><pre><code>$(":file") → jQuery</code></pre></section>	https://api.jquery.com/file-selector/
:first Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects the first matched DOM element.</p><pre><code>$(":first") → jQuery</code></pre></section>	https://api.jquery.com/first-selector/
:first-child Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the first child of their parent.</p><pre><code>$(":first-child") → jQuery</code></pre></section>	https://api.jquery.com/first-child-selector/
:first-of-type Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the first among siblings of the same element name.</p><pre><code>$(":first-of-type") → jQuery</code></pre></section>	https://api.jquery.com/first-of-type-selector/
:focus Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\njQuery Form Selectors							<section class="prog__container"><p>Selects element if it is currently focused.</p><pre><code>$(":focus") → jQuery</code></pre></section>	https://api.jquery.com/focus-selector/
:gt() Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Select all elements at an index greater than index within the matched set.</p><pre><code>$(":gt(index)") → jQuery\n$(":gt(-index)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number) : Zero-based index.\nindexFromEnd (Integer) : Zero-based index, counting backwards from the last element.</code></pre></section>	https://api.jquery.com/gt-selector/
:has() Selector	A			jQuery Selectors\njQuery Content Filter Selector\nJquery Selector Extensions							<section class="prog__container"><p>Selects elements which contain at least one element that matches the specified selector.</p><pre><code>$(":has(selector)") → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : Any selector.</code></pre></section>	https://api.jquery.com/has-selector/
:header Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements that are headers, like h1, h2, h3 and so on.</p><pre><code>$(":header") → jQuery</code></pre></section>	https://api.jquery.com/header-selector/
:hidden Selector	A			jQuery Selectors\nJquery Selector Extensions\njQuery Visibility Filter Selectors							<section class="prog__container"><p>Selects all elements that are hidden.</p><pre><code>$(":hidden") → jQuery</code></pre></section>	https://api.jquery.com/hidden-selector/
:image Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type image.</p><pre><code>$(":image") → jQuery</code></pre></section>	https://api.jquery.com/image-selector/
:input Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all input, textarea, select and button elements.</p><pre><code>$(":input") → jQuery</code></pre></section>	https://api.jquery.com/input-selector/
:lang() Selector	A			jQuery Selectors\njQuery Basic Filter Selectors							<section class="prog__container"><p>Selects all elements of the specified language.</p><pre><code>$(":lang(language)") → jQuery</code></pre><p>Arguments</p><pre><code>language (String) : A language code.</code></pre></section>	https://api.jquery.com/lang-selector/
:last Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects the last matched element.</p><pre><code>$(":last") → jQuery</code></pre></section>	https://api.jquery.com/last-selector/
:last-child Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the last child of their parent.</p><pre><code>$(":last-child") → jQuery</code></pre></section>	https://api.jquery.com/last-child-selector/
:last-of-type Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the last among siblings of the same element name.</p><pre><code>$(":last-of-type") → jQuery</code></pre></section>	https://api.jquery.com/last-of-type-selector/
:lt() Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Select all elements at an index less than index within the matched set.</p><pre><code>$(":lt(index)") → jQuery\n$(":lt(-index)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number) : Zero-based index.\nindexFromEnd (Integer) : Zero-based index, counting backwards from the last element.</code></pre></section>	https://api.jquery.com/lt-selector/
:not() Selector	A			jQuery Selectors\njQuery Basic Filter Selectors							<section class="prog__container"><p>Selects all elements that do not match the given selector.</p><pre><code>$(":not(selector)") → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A selector with which to filter by.</code></pre></section>	https://api.jquery.com/not-selector/
:nth-child() Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the nth-child of their parent.</p><pre><code>$(":nth-child(index/even/odd/equation)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number/String) : The index of each child to match, starting with 1, the string even or odd, or an equation ( eg. :nth-child(even), :nth-child(4n) )</code></pre></section>	https://api.jquery.com/nth-child-selector/
:nth-last-child() Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the nth-child of their parent, counting from the last element to the first.</p><pre><code>$(":nth-last-child(index/even/odd/equation)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number/String) : The index of each child to match, starting with the last one (1), the string even or odd, or an equation ( eg. :nth-last-child(even), :nth-last-child(4n) )</code></pre></section>	https://api.jquery.com/nth-last-child-selector/
:nth-last-of-type() Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all the elements that are the nth-child of their parent in relation to siblings with the same element name, counting from the last element to the first.</p><pre><code>$(":nth-last-of-type(index/even/odd/equation)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number/String) : The index of each child to match, starting with the last one (1), the string even or odd, or an equation ( eg. :nth-last-of-type(even), :nth-last-of-type(4n) )</code></pre></section>	https://api.jquery.com/nth-last-of-type-selector/
:nth-of-type() Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the nth child of their parent in relation to siblings with the same element name.</p><pre><code>$(":nth-of-type(index/even/odd/equation)") → jQuery</code></pre><p>Arguments</p><pre><code>index (Number/String) : The index of each child to match, starting with 1, the string even or odd, or an equation ( eg. :nth-of-type(even), :nth-of-type(4n) )</code></pre></section>	https://api.jquery.com/nth-of-type-selector/
:odd Selector	A			jQuery Selectors\njQuery Basic Filter Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects odd elements, zero-indexed.  See also even.</p><pre><code>$(":odd") → jQuery</code></pre></section>	https://api.jquery.com/odd-selector/
:only-child Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that are the only child of their parent.</p><pre><code>$(":only-child") → jQuery</code></pre></section>	https://api.jquery.com/only-child-selector/
:only-of-type Selector	A			jQuery Selectors\njQuery Child Filter Selectors							<section class="prog__container"><p>Selects all elements that have no siblings with the same element name.</p><pre><code>$(":only-of-type") → jQuery</code></pre></section>	https://api.jquery.com/only-of-type-selector/
:parent Selector	A			jQuery Selectors\njQuery Content Filter Selector\nJquery Selector Extensions							<section class="prog__container"><p>Select all elements that have at least one child node (either an element or text).</p><pre><code>$(":parent") → jQuery</code></pre></section>	https://api.jquery.com/parent-selector/
:password Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type password.</p><pre><code>$(":password") → jQuery</code></pre></section>	https://api.jquery.com/password-selector/
:radio Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all  elements of type radio.</p><pre><code>$(":radio") → jQuery</code></pre></section>	https://api.jquery.com/radio-selector/
:reset Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type reset.</p><pre><code>$(":reset") → jQuery</code></pre></section>	https://api.jquery.com/reset-selector/
:root Selector	A			jQuery Selectors\njQuery Basic Filter Selectors							<section class="prog__container"><p>Selects the element that is the root of the document.</p><pre><code>$(":root") → jQuery</code></pre></section>	https://api.jquery.com/root-selector/
:selected Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements that are selected.</p><pre><code>$(":selected") → jQuery</code></pre></section>	https://api.jquery.com/selected-selector/
:submit Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all elements of type submit.</p><pre><code>$(":submit") → jQuery</code></pre></section>	https://api.jquery.com/submit-selector/
:target Selector	A			jQuery Selectors\njQuery Basic Filter Selectors							<section class="prog__container"><p>Selects the target element indicated by the fragment identifier of the document's URI.</p><pre><code>$(":target") → jQuery</code></pre></section>	https://api.jquery.com/target-selector/
:text Selector	A			jQuery Selectors\njQuery Form Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Selects all input elements of type text.</p><pre><code>$(":text") → jQuery</code></pre></section>	https://api.jquery.com/text-selector/
:visible Selector	A			jQuery Selectors\nJquery Selector Extensions\njQuery Visibility Filter Selectors							<section class="prog__container"><p>Selects all elements that are visible.</p><pre><code>$(":visible") → jQuery</code></pre></section>	https://api.jquery.com/visible-selector/
All Selector	A			jQuery Selectors\njQuery Basic Css Selectors							<section class="prog__container"><p>Selects all elements.</p><pre><code>$("*") → jQuery</code></pre></section>	https://api.jquery.com/all-selector/
Attribute Contains Prefix Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value either equal to a given string or starting with that string followed by a hyphen (-).</p><pre><code>$("[attribute|='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-contains-prefix-selector/
Attribute Contains Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value containing a given substring.</p><pre><code>$("[attribute*='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-contains-selector/
Attribute Contains Word Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value containing a given word, delimited by spaces.</p><pre><code>$("[attribute~='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-contains-word-selector/
Attribute Ends With Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value ending exactly with a given string. The comparison is case sensitive.</p><pre><code>$("[attribute$='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-ends-with-selector/
Attribute Equals Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value exactly equal to a certain value.</p><pre><code>$("[attribute='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-equals-selector/
Attribute Not Equal Selector	A			jQuery Selectors\njQuery Attribute Selectors\nJquery Selector Extensions							<section class="prog__container"><p>Select elements that either don't have the specified attribute, or do have the specified attribute but not with a certain value.</p><pre><code>$("[attribute!='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-not-equal-selector/
Attribute Starts With Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute with a value beginning exactly with a given string.</p><pre><code>$("[attribute^='value']") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.\nvalue (String) : An attribute value. Can be either a valid identifier or a quoted string.</code></pre></section>	https://api.jquery.com/attribute-starts-with-selector/
Callbacks	R	jQuery.Callbacks()										
Callbacks()	R	jQuery.Callbacks()										
Child Selector	A			jQuery Selectors\njQuery Hierarchy Selectors							<section class="prog__container"><p>Selects all direct child elements specified by "child" of elements specified by "parent".</p><pre><code>$("parent > child") → jQuery</code></pre><p>Arguments</p><pre><code>parent (Selector) : Any valid selector.\nchild (Selector) : A selector to filter the child elements.</code></pre></section>	https://api.jquery.com/child-selector/
Class Selector	A			jQuery Selectors\njQuery Basic Css Selectors							<section class="prog__container"><p>Selects all elements with the given class. </p><pre><code>$(".class") → jQuery</code></pre><p>Arguments</p><pre><code>class (String) : A class to search for. An element can have multiple classes; only one of them must match.</code></pre></section>	https://api.jquery.com/class-selector/
Deferred	R	jQuery.Deferred()										
Deferred()	R	jQuery.Deferred()										
Descendant Selector	A			jQuery Selectors\njQuery Hierarchy Selectors							<section class="prog__container"><p>Selects all elements that are descendants of a given ancestor.</p><pre><code>$("ancestor descendant") → jQuery</code></pre><p>Arguments</p><pre><code>ancestor (Selector) : Any valid selector.\ndescendant (Selector) : A selector to filter the descendant elements.</code></pre></section>	https://api.jquery.com/descendant-selector/
Element Selector	A			jQuery Selectors\njQuery Basic Css Selectors							<section class="prog__container"><p>Selects all elements with the given tag name.</p><pre><code>$("element") → jQuery</code></pre><p>Arguments</p><pre><code>element (String) : An element to search for. Refers to the tagName of DOM nodes.</code></pre></section>	https://api.jquery.com/element-selector/
Has Attribute Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Selects elements that have the specified attribute, with any value. </p><pre><code>$("[attribute]") → jQuery</code></pre><p>Arguments</p><pre><code>attribute (String) : An attribute name.</code></pre></section>	https://api.jquery.com/has-attribute-selector/
ID Selector	A			jQuery Selectors\njQuery Basic Css Selectors							<section class="prog__container"><p>Selects a single element with the given id attribute. </p><pre><code>$("#id") → jQuery</code></pre><p>Arguments</p><pre><code>id (String) : An ID to search for, specified via the id attribute of an element.</code></pre></section>	https://api.jquery.com/id-selector/
Multiple Attribute Selector	A			jQuery Selectors\njQuery Attribute Selectors							<section class="prog__container"><p>Matches elements that match all of the specified attribute filters.</p><pre><code>$("[attributeFilter1][attributeFilter2][attributeFilterN]") → jQuery</code></pre><p>Arguments</p><pre><code>attributeFilter1 (Selector) : An attribute filter.\nattributeFilter2 (Selector) : Another attribute filter, reducing the selection even more\nattributeFilterN (Selector) : As many more attribute filters as necessary</code></pre></section>	https://api.jquery.com/multiple-attribute-selector/
Multiple Selector	A			jQuery Selectors\njQuery Basic Css Selectors							<section class="prog__container"><p>Selects the combined results of all the specified selectors.</p><pre><code>$("selector1, selector2, selectorN") → jQuery</code></pre><p>Arguments</p><pre><code>selector1 (Selector) : Any valid selector.\nselector2 (Selector) : Another valid selector.\nselectorN (Selector) : As many more valid selectors as you like.</code></pre></section>	https://api.jquery.com/multiple-selector/
Next Adjacent Selector	A			jQuery Selectors\njQuery Hierarchy Selectors							<section class="prog__container"><p>Selects all next elements matching "next" that are immediately preceded by a sibling "prev".</p><pre><code>$("prev + next") → jQuery</code></pre><p>Arguments</p><pre><code>prev (Selector) : Any valid selector.\nnext (Selector) : A selector to match the element that is next to the first selector.</code></pre></section>	https://api.jquery.com/next-adjacent-selector/
Next Siblings Selector	A			jQuery Selectors\njQuery Hierarchy Selectors							<section class="prog__container"><p>Selects all sibling elements that follow after the "prev" element, have the same parent, and match the filtering "siblings" selector.</p><pre><code>$("prev ~ siblings") → jQuery</code></pre><p>Arguments</p><pre><code>prev (Selector) : Any valid selector.\nsiblings (Selector) : A selector to filter elements that are the following siblings of the first selector.</code></pre></section>	https://api.jquery.com/next-siblings-selector/
add	R	.add()										
add back	R	.addBack()										
add class	R	.addClass()										
add()	R	.add()										
addBack	R	.addBack()										
addBack()	R	.addBack()										
addClass	R	.addClass()										
addClass()	R	.addClass()										
addback	R	.addBack()										
addclass	R	.addClass()										
after	R	.after()										
after()	R	.after()										
ajax	R	jQuery.ajax()										
ajax complete	R	.ajaxComplete()										
ajax error	R	.ajaxError()										
ajax prefilter	R	jQuery.ajaxPrefilter()										
ajax send	R	.ajaxSend()										
ajax setup	R	jQuery.ajaxSetup()										
ajax start	R	.ajaxStart()										
ajax stop	R	.ajaxStop()										
ajax success	R	.ajaxSuccess()										
ajax transport	R	jQuery.ajaxTransport()										
ajax()	R	jQuery.ajax()										
ajaxComplete	R	.ajaxComplete()										
ajaxComplete()	R	.ajaxComplete()										
ajaxError	R	.ajaxError()										
ajaxError()	R	.ajaxError()										
ajaxPrefilter	R	jQuery.ajaxPrefilter()										
ajaxPrefilter()	R	jQuery.ajaxPrefilter()										
ajaxSend	R	.ajaxSend()										
ajaxSend()	R	.ajaxSend()										
ajaxSetup	R	jQuery.ajaxSetup()										
ajaxSetup()	R	jQuery.ajaxSetup()										
ajaxStart	R	.ajaxStart()										
ajaxStart()	R	.ajaxStart()										
ajaxStop	R	.ajaxStop()										
ajaxStop()	R	.ajaxStop()										
ajaxSuccess	R	.ajaxSuccess()										
ajaxSuccess()	R	.ajaxSuccess()										
ajaxTransport	R	jQuery.ajaxTransport()										
ajaxTransport()	R	jQuery.ajaxTransport()										
ajaxcomplete	R	.ajaxComplete()										
ajaxerror	R	.ajaxError()										
ajaxprefilter	R	jQuery.ajaxPrefilter()										
ajaxsend	R	.ajaxSend()										
ajaxsetup	R	jQuery.ajaxSetup()										
ajaxstart	R	.ajaxStart()										
ajaxstop	R	.ajaxStop()										
ajaxsuccess	R	.ajaxSuccess()										
ajaxtransport	R	jQuery.ajaxTransport()										
all selector	R	All Selector										
always	R	deferred.always()										
always()	R	deferred.always()										
and self	R	.andSelf()										
andSelf	R	.andSelf()										
andSelf()	R	.andSelf()										
andself	R	.andSelf()										
animate	R	.animate()										
animate()	R	.animate()										
animated selector	R	:animated Selector										
append	R	.append()										
append to	R	.appendTo()										
append()	R	.append()										
appendTo	R	.appendTo()										
appendTo()	R	.appendTo()										
appendto	R	.appendTo()										
attr	R	.attr()										
attr()	R	.attr()										
attribute contains prefix selector	R	Attribute Contains Prefix Selector										
attribute contains selector	R	Attribute Contains Selector										
attribute contains word selector	R	Attribute Contains Word Selector										
attribute ends with selector	R	Attribute Ends With Selector										
attribute equals selector	R	Attribute Equals Selector										
attribute not equal selector	R	Attribute Not Equal Selector										
attribute starts with selector	R	Attribute Starts With Selector										
before	R	.before()										
before()	R	.before()										
bind	R	.bind()										
bind event	R	.bind()										
bind()	R	.bind()										
bind() event	R	.bind()										
blur	R	.blur()										
blur event	R	.blur()										
blur()	R	.blur()										
blur() event	R	.blur()										
box model	R	jQuery.boxModel										
boxModel	R	jQuery.boxModel										
boxmodel	R	jQuery.boxModel										
browser	R	jQuery.browser										
button selector	R	:button Selector										
callbacks	R	jQuery.Callbacks()										
callbacks add	R	callbacks.add()										
callbacks disable	R	callbacks.disable()										
callbacks disabled	R	callbacks.disabled()										
callbacks empty	R	callbacks.empty()										
callbacks fire	R	callbacks.fire()										
callbacks fire with	R	callbacks.fireWith()										
callbacks fired	R	callbacks.fired()										
callbacks firewith	R	callbacks.fireWith()										
callbacks has	R	callbacks.has()										
callbacks lock	R	callbacks.lock()										
callbacks locked	R	callbacks.locked()										
callbacks remove	R	callbacks.remove()										
callbacks.add	R	callbacks.add()										
callbacks.add()	A			jQuery Callbacks Object							<section class="prog__container"><p>Add a callback or a collection of callbacks to a callback list.</p><pre><code>callbacks.add(callbacks) → Callbacks</code></pre><p>Arguments</p><pre><code>callbacks (Function| Array) : A function, or array of functions, that are to be added to the callback list.</code></pre></section>	https://api.jquery.com/callbacks.add/
callbacks.disable	R	callbacks.disable()										
callbacks.disable()	A			jQuery Callbacks Object							<section class="prog__container"><p>Disable a callback list from doing anything more.</p><pre><code>callbacks.disable() → Callbacks</code></pre></section>	https://api.jquery.com/callbacks.disable/
callbacks.disabled	R	callbacks.disabled()										
callbacks.disabled()	A			jQuery Callbacks Object							<section class="prog__container"><p>Determine if the callbacks list has been disabled.</p><pre><code>callbacks.disabled() → Boolean</code></pre></section>	https://api.jquery.com/callbacks.disabled/
callbacks.empty	R	callbacks.empty()										
callbacks.empty()	A			jQuery Callbacks Object							<section class="prog__container"><p>Remove all of the callbacks from a list.</p><pre><code>callbacks.empty() → Callbacks</code></pre></section>	https://api.jquery.com/callbacks.empty/
callbacks.fire	R	callbacks.fire()										
callbacks.fire()	A			jQuery Callbacks Object							<section class="prog__container"><p>Call all of the callbacks with the given arguments.</p><pre><code>callbacks.fire(arguments) → Callbacks</code></pre><p>Arguments</p><pre><code>arguments (Anything) : The argument or list of arguments to pass back to the callback list.</code></pre></section>	https://api.jquery.com/callbacks.fire/
callbacks.fireWith	R	callbacks.fireWith()										
callbacks.fireWith()	A			jQuery Callbacks Object							<section class="prog__container"><p>Call all callbacks in a list with the given context and arguments.</p><pre><code>callbacks.fireWith(context,args) → Callbacks</code></pre><p>Arguments</p><pre><code>context () : A reference to the context in which the callbacks in the list should be fired.\nargs () : An argument, or array of arguments, to pass to the callbacks in the list.</code></pre></section>	https://api.jquery.com/callbacks.fireWith/
callbacks.fired	R	callbacks.fired()										
callbacks.fired()	A			jQuery Callbacks Object							<section class="prog__container"><p>Determine if the callbacks have already been called at least once.</p><pre><code>callbacks.fired() → Boolean</code></pre></section>	https://api.jquery.com/callbacks.fired/
callbacks.has	R	callbacks.has()										
callbacks.has()	A			jQuery Callbacks Object							<section class="prog__container"><p>Determine whether or not the list has any callbacks attached. If a callback is provided as an argument, determine whether it is in a list.</p><pre><code>callbacks.has(callback) → Boolean</code></pre><p>Arguments</p><pre><code>callback (Function) : The callback to search for.</code></pre></section>	https://api.jquery.com/callbacks.has/
callbacks.lock	R	callbacks.lock()										
callbacks.lock()	A			jQuery Callbacks Object							<section class="prog__container"><p>Lock a callback list in its current state.</p><pre><code>callbacks.lock() → Callbacks</code></pre></section>	https://api.jquery.com/callbacks.lock/
callbacks.locked	R	callbacks.locked()										
callbacks.locked()	A			jQuery Callbacks Object							<section class="prog__container"><p>Determine if the callbacks list has been locked.</p><pre><code>callbacks.locked() → Boolean</code></pre></section>	https://api.jquery.com/callbacks.locked/
callbacks.remove	R	callbacks.remove()										
callbacks.remove()	A			jQuery Callbacks Object							<section class="prog__container"><p>Remove a callback or a collection of callbacks from a callback list.</p><pre><code>callbacks.remove(callbacks) → Callbacks</code></pre><p>Arguments</p><pre><code>callbacks (Function| Array) : A function, or array of functions, that are to be removed from the callback list.</code></pre></section>	https://api.jquery.com/callbacks.remove/
catch	R	deferred.catch()										
catch()	R	deferred.catch()										
change	R	.change()										
change event	R	.change()										
change()	R	.change()										
change() event	R	.change()										
checkbox selector	R	:checkbox Selector										
checked selector	R	:checked Selector										
child selector	R	Child Selector										
children	R	.children()										
children()	R	.children()										
class selector	R	Class Selector										
clear queue	R	.clearQueue()										
clearQueue	R	.clearQueue()										
clearQueue()	R	.clearQueue()										
clearqueue	R	.clearQueue()										
click	R	.click()										
click event	R	.click()										
click()	R	.click()										
click() event	R	.click()										
clone	R	.clone()										
clone()	R	.clone()										
closest	R	.closest()										
closest()	R	.closest()										
contains	R	jQuery.contains()										
contains selector	R	:contains() Selector										
contains()	R	jQuery.contains()										
contents	R	.contents()										
contents()	R	.contents()										
context	R	.context										
contextmenu	R	.contextmenu()										
contextmenu event	R	.contextmenu()										
contextmenu()	R	.contextmenu()										
